ID,Province,Population
01,Araba/Álava,324852
02,Albacete,390387
03,Alicante/Alacant,1840669
04,Almería,701021
05,Ávila,160451
06,Badajoz,676027
07,Balears Illes,1160591
08,Barcelona,5484332
09,Burgos,356379
10,Cáceres,396857
11,Cádiz,1248167
12,Castellón/Castelló,568669
13,Ciduad Real,500671
14,Córdoba,787687
15,A Coruña,1120109
16,Cuenca,200976
17,Girona,747714
18,Granada,916295
19,Guadalajara,255922
20,Gipuzkoa,709043
21,Huelva,521632
22,Huesca,219205
23, Jaén,638621
24,León,467631
25,Lleida,428943
26,La Rioja,312423
27,Lugo,332344
28,Madrid,6506437
29,Málaga,1646955
30,Murcia,1474071
31,Navarra,641345
32,Ourense,309986
33,Asturias,1030055
34,Palencia,162260
35,Las Palmas,1122742
36,Pontevedra,941224
37,Salamanca,334261
38,Santa Cruz de Tenerife,1041602
39,Cantabria,581109
40,Segovia,154586
41,Sevilla,1942972
42,Soria,89763
43,Tarragona,792968
44,Teruel,134197
45,Toledo,686846
46,Valencia/València,2522964
47,Valladolid,521517
48,Bizkaia,1134358
49,Zamora,177027
50,Zaragoza,962311
51,Cueta,85017
52,Melilla,84856
